gene,cluster
Fads1,#7CAE00
Cpsf7,#7CAE00
Tkfc,#7CAE00
Vwce,#00A9FF
Gm4952,#00A9FF
Pcsk5,#00A9FF
Aldh1a1,#F8766D
1110059E24Rik,#7CAE00
C330002G04Rik,#00A9FF
Smc5,#7CAE00
Dock8,#7CAE00
Kank1,#00A9FF
Glis3,#C77CFF
Cdc37l1,#7CAE00
Ak3,#00A9FF
Rcl1,#CD9600
Ric1,#7CAE00
Asah2,#7CAE00
Sgms1,#00A9FF
Minpp1,#7CAE00
Atad1,#7CAE00
Lipa,#7CAE00
Slc16a12,#7CAE00
Pcgf5,#F8766D
Btaf1,#7CAE00
March5,#7CAE00
Ide,#7CAE00
Hhex,#7CAE00
Exoc6,#7CAE00
Fra10ac1,#7CAE00
Cyp2c67,#FF61CC
Cyp2c68,#7CAE00
Mms19,#7CAE00
Pi4k2a,#7CAE00
Pyroxd2,#7CAE00
Cpn1,#F8766D
Cyp2c23,#00A9FF
Erlin1,#7CAE00
Fbxw4,#7CAE00
Sfxn2,#00A9FF
Pdcd11,#7CAE00
Sh3pxd2a,#00A9FF
Gpam,#00A9FF
Acsl5,#7CAE00
Zdhhc6,#7CAE00
Habp2,#00A9FF
Dclre1a,#7CAE00
Ablim1,#7CAE00
B230217O12Rik,#7CAE00
Fam160b1,#7CAE00
Trub1,#7CAE00
Shtn1,#7CAE00
Eif3a,#7CAE00
Zfp950,#F8766D
Tmlhe,#00A9FF
Rdh9,#FF61CC
Gm20528,#FF61CC
Relch,#FF61CC
Odr4,#FF61CC
Gas5,#FF61CC
A330023F24Rik,#FF61CC
Phyhd1,#FF61CC
Ptpmt1,#FF61CC
Shld1,#FF61CC
Rab5if,#FF61CC
Adnp,#FF61CC
Dpm1,#FF61CC
Slc10a5,#FF61CC
6430590A07Rik,#FF61CC
Khdc4,#FF61CC
Hjv,#FF61CC
Ecpas,#FF61CC
Gm13773,#FF61CC
Gm13775,#FF61CC
Tut4,#FF61CC
9630013D21Rik,#FF61CC
Maco1,#FF61CC
Aldh4a1,#FF61CC
5033403H07Rik,#FF61CC
Gm42109,#FF61CC
Albfm1,#FF61CC
Gcn1,#FF61CC
AI480526,#FF61CC
Hpd,#FF61CC
D730045B01Rik,#FF61CC
1700028E10Rik,#FF61CC
2210408F21Rik,#FF61CC
E230016M11Rik,#FF61CC
Resf1,#FF61CC
Gm2788,#FF61CC
1810026B05Rik,#FF61CC
4632427E13Rik,#FF61CC
Vps35l,#FF61CC
Hsd3b7,#FF61CC
BC024386,#FF61CC
4833411C07Rik,#FF61CC
Trmt9b,#FF61CC
Gm16348,#FF61CC
Tent4b,#FF61CC
Gse1,#FF61CC
Banp,#FF61CC
Zfpm1,#FF61CC
Zc3h18,#FF61CC
Zfp276,#FF61CC
Tcf25,#FF61CC
Rhou,#FF61CC
Rab4a,#FF61CC
Galnt2,#FF61CC
Shfl,#FF61CC
4930581F22Rik,#FF61CC
Dop1a,#FF61CC
9330159M07Rik,#FF61CC
Ube2b,#FF61CC
Nmt1,#FF61CC
Gm36723,#FF61CC
Cox16,#FF61CC
Serpina3k,#FF61CC
Tasor2,#FF61CC
4930470G03Rik,#FF61CC
2610307P16Rik,#C77CFF
Tut7,#FF61CC
Aopep,#FF61CC
Tent2,#FF61CC
Tasor,#FF61CC
Shld2,#FF61CC
Dleu2,#FF61CC
Gm49417,#FF61CC
Anxa13,#C77CFF
Ly6g2,#FF61CC
Gm17753,#FF61CC
Mrtfa,#FF61CC
Gm49431,#FF61CC
Lncppara,#FF61CC
Mrtfb,#FF61CC
Gm15764,#FF61CC
Slc49a4,#FF61CC
Gm46559,#FF61CC
Mir99ahg,#FF61CC
Gm32461,#FF61CC
Gm32624,#FF61CC
Gm49961,#FF61CC
Prkn,#FF61CC
2700054A10Rik,#C77CFF
BC028777,#FF61CC
Ilrun,#FF61CC
Mmut,#FF61CC
Pex6,#FF61CC
Lpin2,#FF61CC
Gm30117,#FF61CC
Gm50063,#FF61CC
Gm49970,#FF61CC
Gm49980,#FF61CC
Gm50237,#FF61CC
Gm29966,#FF61CC
Gm50136,#FF61CC
4931403E22Rik,#FF61CC
9130016M20Rik,#FF61CC
Gm36419,#FF61CC
Oga,#FF61CC
Armh3,#FF61CC
Gm31356,#FF61CC
Firre,#FF61CC
Pkhd1,#C77CFF
Tgfb2,#C77CFF
Sestd1,#C77CFF
Lbp,#FF61CC
Hnf4g,#C77CFF
Dab1,#C77CFF
Slit2,#C77CFF
Kcnip4,#C77CFF
Atp10a,#C77CFF
Gm47889,#7CAE00
Gm48877,#FF61CC
Kifc3,#C77CFF
Tmie,#00A9FF
Gas7,#FF61CC
Abcc3,#00A9FF
Pdk2,#00A9FF
Baiap2,#00A9FF
Egflam,#C77CFF
Grhl2,#C77CFF
Ano6,#C77CFF
Csad,#FF61CC
Chst9,#C77CFF
Gna14,#C77CFF
Gldc,#7CAE00
Schip1,#C77CFF
Serpine2,#00BFC4
Gin1,#7CAE00
Slc8a1,#00BFC4
