gene,cluster
Chn2,#CD9600
Inmt,#00BFC4
Ppm1k,#F8766D
Fam13a,#00A9FF
Gprin3,#CD9600
Gng12,#7CAE00
Rmnd5a,#F8766D
Rnf103,#F8766D
St3gal5,#F8766D
Tmem150a,#CD9600
Kcmf1,#F8766D
Eva1a,#CD9600
Zfp638,#F8766D
Sfxn5,#CD9600
Rab7,#7CAE00
Eefsec,#F8766D
Uroc1,#CD9600
Klf15,#F8766D
Aldh1l1,#00BE67
Slc6a6,#7CAE00
Nr2c2,#7CAE00
Magi1,#00BFC4
Lrig1,#7CAE00
Suclg2,#CD9600
Frmd4b,#7CAE00
Foxp1,#CD9600
Itpr1,#CD9600
Setd5,#7CAE00
Vgll4,#F8766D
Raf1,#F8766D
Tmcc1,#F8766D
Zfand4,#F8766D
March8,#7CAE00
Adipor2,#00BE67
Erc1,#F8766D
Wnk1,#7CAE00
Kdm5a,#F8766D
Cecr2,#CD9600
Mug1,#00BE67
Mug2,#00BE67
C1s1,#F8766D
Lpcat3,#CD9600
Gm10069,#00A9FF
Pzp,#CD9600
Gm44511,#00BFC4
Clec2d,#00BE67
2310001H17Rik,#F8766D
Etv6,#F8766D
Lrp6,#F8766D
Dusp16,#7CAE00
Hebp1,#CD9600
Mgst1,#F8766D
Pik3c2g,#00A9FF
Plekha5,#F8766D
Slco1b2,#CD9600
Slco1a1,#F8766D
Gys2,#CD9600
Sox5,#CD9600
Itpr2,#F8766D
Dennd5b,#CD9600
Etfbkmt,#F8766D
Isoc2a,#CD9600
Slc27a5,#F8766D
Trim28,#CD9600
Sult2a8,#F8766D
Arhgap35,#F8766D
Foxa3,#7CAE00
Apoc1,#F8766D
Apoe,#F8766D
4732471J01Rik,#F8766D
Bckdha,#CD9600
Prodh2,#00BE67
Hamp,#F8766D
Lsr,#F8766D
Hpn,#CD9600
Uri1,#7CAE00
Gm37494,#F8766D
Snrnp70,#F8766D
0610005C13Rik,#00BE67
Abcc6,#00BE67
Gas2,#7CAE00
Ube3a,#7CAE00
Klf13,#00BFC4
Mef2a,#7CAE00
Lrrc28,#F8766D
Ttc23,#F8766D
Gm16157,#00A9FF
Fam169b,#CD9600
Mctp2,#CD9600
Chd2,#F8766D
Akap13,#F8766D
Pde8a,#F8766D
Whamm,#00A9FF
Stard5,#F8766D
Fah,#CD9600
Zfand6,#F8766D
Nox4,#CD9600
Tmem135,#F8766D
Picalm,#7CAE00
Nars2,#7CAE00
Thrsp,#00BFC4
Uvrag,#F8766D
Dgat2,#F8766D
Rnf169,#CD9600
Rab6a,#7CAE00
Fchsd2,#F8766D
Stard10,#CD9600
Olfml1,#00A9FF
Ppfibp2,#F8766D
Sbf2,#7CAE00
Usp47,#F8766D
Parva,#F8766D
Pde3b,#F8766D
Sox6,#F8766D
Pik3c2a,#7CAE00
Smg1,#7CAE00
Acsm5,#CD9600
Acsm1,#CD9600
Rbbp6,#F8766D
Tmem219,#CD9600
Fus,#7CAE00
Inpp5f,#7CAE00
Fgfr2,#7CAE00
Tacc2,#7CAE00
Acadsb,#F8766D
Zranb1,#F8766D
Dock1,#F8766D
Mgmt,#F8766D
Bnip3,#F8766D
Paox,#F8766D
Sirt3,#CD9600
Nlrp6,#00BE67
Kcnq1ot1,#F8766D
Esr1,#00A9FF
Syne1,#00A9FF
Pcmt1,#7CAE00
Sash1,#7CAE00
Utrn,#F8766D
Hivep2,#7CAE00
Map3k5,#F8766D
Map7,#F8766D
Bclaf1,#F8766D
Pde7b,#F8766D
Hbs1l,#F8766D
Aldh8a1,#CD9600
Moxd1,#7CAE00
Arg1,#00BE67
Ptprk,#F8766D
Rev3l,#F8766D
Foxo3,#CD9600
Sec63,#F8766D
Pdss2,#7CAE00
Atg5,#F8766D
Ascc3,#F8766D
Cep85l,#CD9600
Man1a,#F8766D
Ranbp2,#F8766D
Eif4ebp2,#00A9FF
Ccar1,#F8766D
Pbld2,#CD9600
Pbld1,#00BE67
Herc4,#F8766D
Reep3,#7CAE00
Jmjd1c,#F8766D
Arid5b,#CD9600
Rhobtb1,#F8766D
Gucd1,#CD9600
Upb1,#CD9600
Ftcd,#CD9600
Col18a1,#00BE67
Dazap1,#F8766D
Creb3l3,#CD9600
Pah,#00BE67
Igf1,#CD9600
Nr1h4,#00BE67
Uhrf1bp1l,#7CAE00
Cdk17,#7CAE00
Amdhd1,#CD9600
Fgd6,#F8766D
Cradd,#CD9600
4732465J04Rik,#CD9600
Gm47719,#CD9600
Gm33543,#00A9FF
Eea1,#7CAE00
Tmtc2,#F8766D
Lin7a,#CD9600
Ppp1r12a,#7CAE00
Osbpl8,#F8766D
Zfc3h1,#F8766D
Cnot2,#7CAE00
Frs2,#7CAE00
Cpsf6,#7CAE00
Rassf3,#00A9FF
Mon2,#F8766D
Usp15,#F8766D
R3hdm2,#F8766D
Lrp1,#CD9600
Rdh7,#CD9600
Baz2a,#F8766D
Gls2,#F8766D
Stat2,#CD9600
Sarnp,#7CAE00
Mettl7b,#00A9FF
Insr,#CD9600
F10,#CD9600
Proz,#CD9600
Cul4a,#F8766D
Gm26804,#00BFC4
Slc20a2,#F8766D
Polb,#7CAE00
Kat6a,#7CAE00
Gpat4,#F8766D
Ido2,#CD9600
Tacc1,#F8766D
Nsd3,#CD9600
Hook3,#F8766D
Adrb3,#7CAE00
Rbpms,#7CAE00
Tnks,#7CAE00
Ppp1r3b,#CD9600
Dlc1,#F8766D
Slc7a2,#00BE67
Mtus1,#00BE67
Fgl1,#F8766D
Pcm1,#F8766D
Cyp4v3,#F8766D
Sorbs2,#7CAE00
Sorbs2os,#7CAE00
Acsl1,#00BE67
Irf2,#CD9600
Aadat,#CD9600
Palld,#F8766D
Klhl2,#F8766D
Psd3,#F8766D
